"1","Slim silver ring with diamonds","Slender eternity-style ring made from tarnished silver with 25 small diamonds along the top.","Underwater near west edge of McKell Park swimming pool.","0","1645920000","Found by Nick on speculative search."
"3","Stainless steel anchor","Large stainless steel anchor from motor cruiser with a length of chain still attached.","About 50 metres northwest of Renko's mooring.","1581465600","0","NOT FOUND"
"4","Bronze propeller","Bronze propeller from Graham White's putt putt.","Lost when going into reverse approaching his pontoon at home from the west.","1420070400","1648463439","NOT FOUND"
"6","Hobie pedals","Two sets of pedals for the Hobie Tandem Island sailing kayak.","Between Dave Peddley's house and the tanks somewhere, about 100 metres off his wharf.","1199145600","0","NOT FOUND"
